,FEEDBACK_VALUE,YOUTUBE_AUTO_MOS,QoE_itu
0,1,5,3.1194061387109726
1,3,5,4.282068592072347
2,2,5,4.278155793684161
3,3,5,4.278084573739539
4,2,5,4.275065615895868
5,5,5,4.2741480657088085
6,5,5,4.2741480657088085
7,4,5,4.279058303449454
8,4,5,4.278535789931921
9,1,5,4.278535789931921
10,1,5,4.278076363458266
11,5,5,4.274458797503552
12,5,5,4.27317097921769
13,4,5,4.279042384187892
14,5,5,4.198104018887746
15,5,5,4.278735626586477
16,5,5,4.127841476031726
17,5,5,4.278239121017292
18,5,5,4.280274110138359
19,5,5,4.27933652610363
20,5,5,4.279305640404777
21,5,5,4.277993951373852
22,5,5,4.272343733704591
23,5,5,4.278756779043863
24,5,5,4.277034537649812
25,5,5,4.278269107238782
26,5,5,4.278678096147992
27,5,5,4.278678096147992
28,5,5,4.27317097921769
29,3,3,2.3475708175301273
30,1,5,2.5545783907766086
31,3,5,2.374268884730717
32,2,5,2.7237084257937827
33,3,5,2.756754375121048
34,3,5,2.756754375121048
35,3,5,2.756754375121048
36,3,5,2.7252986557946173
37,2,5,2.7252986557946173
38,3,5,2.7252986557946173
39,2,5,2.7252986557946173
40,3,5,2.7252986557946173
41,4,5,2.697933270375875
42,2,3,2.0884468479025
43,4,3,2.65563665809027
44,3,3,2.65563665809027
45,3,3,2.65563665809027
46,5,3,2.65563665809027
47,4,3,2.65563665809027
48,5,3,2.65563665809027
49,5,3,2.65563665809027
50,4,3,2.559047160326816
51,3,3,2.559047160326816
52,4,3,2.559047160326816
53,5,5,3.49005465387711
54,5,5,3.49005465387711
55,2,1,1.6397889919581115
56,2,1,1.6397889919581115
57,2,1,1.6397889919581115
58,2,1,1.6397889919581115
59,1,1,1.6397889919581115
60,1,1,1.6397889919581115
61,2,1,1.6397889919581115
62,3,3,1.7424614565421133
63,4,3,1.7424614565421133
64,4,3,1.7424614565421133
65,4,3,1.7424614565421133
66,4,3,1.7424614565421133
67,4,3,1.7424614565421133
68,4,3,1.7424614565421133
69,4,3,1.7424614565421133
70,4,3,2.201341794185637
71,4,3,2.201341794185637
72,3,3,2.201341794185637
73,4,3,2.201341794185637
74,5,3,2.240405549661137
75,5,3,2.240405549661137
76,5,3,2.240405549661137
77,5,3,2.240405549661137
78,5,3,2.240405549661137
79,5,3,2.240405549661137
80,4,3,2.240405549661137
81,4,3,2.240405549661137
82,4,3,2.240405549661137
83,4,3,2.240405549661137
